ID,Name
2710,James Cameron
1704,Gore Verbinski
1344278,Pamela Alch
1395290,Sharron Reynolds
1400738,Karen Golden
39,Sam Mendes
1342669,Jayne-Ann Tenggren
1358025,Nicoletta Mani
1392661,Susie Jones
525,Christopher Nolan
1367508,Steve Gehrke
1402079,Matthew Reedy
1483827,Sid Karne
1566280,Nilo Otero
7,Andrew Stanton
1390388,Annie Penn
1750922,Tommy Gormley
1775681,Ben Dixon
1775682,Andrew M. Ward
7623,Sam Raimi
1339468,Trudy Ramirez
76595,Byron Howard
121830,Nathan Greno
1447483,Rick Moore
1447497,Merrick Rustia
1451279,Doug Walker
1461363,Brian Kesinger
1461397,Daniel Hu
1578645,John Murrah
1615775,Scott Beattie
1615791,Cory Rocco Florimonte
1615792,Allen Blaisdell
1615793,Rob Dressel
1615794,Todd Allen Erickson
1615795,Terry Moews
1615796,Christopher K. Poplin
1615797,Wally Schaab
1615799,Richard Turner
1615800,David Wainstain
12891,Joss Whedon
11343,David Yates
1389548,Anna Worley
15217,Zack Snyder
1394760,Kimi Webber
1423005,Amber Harley
9032,Bryan Singer
12995,Marc Forster
5524,Andrew Adamson
1455486,Jakub Dvorak
1483583,Alexa Alden
17633,Rob Marshall
1355532,Kerry Lyn McKissick
5174,Barry Sonnenfeld
108,Peter Jackson
87742,Marc Webb
1355531,Trisha Burton
578,Ridley Scott
190914,Elizabeth West
3506,Carolynne Cunningham
1470982,Victoria Sullivan
1635597,Veronique Lawrence
3288,Chris Weitz
1462919,Nikki Clapp
1424641,Merrin Ruck
19271,Anthony Russo
19272,Joe Russo
36602,Peter Berg
930707,Colin Trevorrow
1463281,Chris Castaldi
1463286,Scott Koche
1463289,Joyce McCarthy
1463290,Nathan Parker
1463291,Stockton David Porter
1463292,Zack Smith
1463293,Spencer Taylor
143894,Eric Heffron
1108,Shane Black
510,Tim Burton
1459790,Adam Holmes
1462665,Harald Kraut
11091,Brett Ratner
225976,Dan Scanlon
865,Michael Bay
1386923,Alicia Accardo
1460628,Weicheng Jiang
1463178,Daniel Erickson
1399481,Wendy Lee Roberts
86270,Joseph Kosinski
7879,John Lasseter
7924,Nathan Stanton
32532,Brad Lewis
1609031,Victoria R. Manley
10702,Martin Campbell
1345635,Anna Rane
1406137,Pam Fuller
8,Lee Unkrich
7984,Mark Sanford
72972,Andrew Cadelago
36425,McG
2127,James Wan
1389138,Jody Blose
1408365,Brenda K. Wachel
1427849,Zoe Morgan
1384397,Milena Popovic
1384398,Christine Wilson
15344,J.J. Abrams
1403421,Dawn Gilliam
1638520,Vanessa Meier
1380003,Julie Brown
6201,Baz Luhrmann
10723,Mike Newell
1410205,Beverly Winston
10828,Guillermo del Toro
488,Steven Spielberg
21198,Peter Sohn
59803,Brenda Chapman
126638,Mark Andrews
137262,Steve Purcell
1406891,Shannon Wood
58189,Justin Lin
1352983,Valeria Migliassi Collins
6046,Roland Emmerich
24,Robert Zemeckis
9339,Lilly Wachowski
9340,Lana Wachowski
1401309,Nadia Guglieri
10,Bob Peterson
7979,Gregg Olsson
7981,Robert Anderson
12890,Pete Docter
1555650,Lorien McKenna
1742719,Mahyar Abousaeedi
1742720,Josh Anon
1742721,Sukwon Park
1742722,Mark Shirra
1742723,Matthew Silas
1742724,Sylvia Gray Wong
12080,Conrad Vernon
65630,Rob Letterman
15277,Jon Favreau
1397300,Cristina Weigmann
1032,Martin Scorsese
1402039,Martha Pinson
1643667,Ali Cherkaoui
18878,Rob Cohen
1519867,Lorette Leblanc
19769,David Ayer
1393407,Shane B. Scott
1449183,Samantha Armstrong
4499,Tom Shadyac
11694,Doug Liman
1119475,Samantha C. Kirkeby
1373729,Lisa Vick
1402943,Sylvia Parker
1428551,Caroline Bowker
1428927,Carmen Tabanyi
8300,Kevin Reynolds
7775,Stephen Sommers
7980,Derek Williams
228134,Rupert Sanders
1404875,Jo Beckett
1454884,Cedric Nicolas-Troyan
1032536,Robert Stromberg
32278,Matt Reeves
1406868,Tracy L. Moody
8965,Roland Joffé
1609010,Sue Kenchington
239571,Carl Rinsch
64151,Mike Mitchell
1462666,Josh LaBrot
7087,Brad Bird
70238,Chris Williams
227439,Don Hall
1447503,Matsune Suzuki
1447506,Kendra Vander Vliet
165787,Rich Moore
10956,Josh McLaglen
1262129,Luca Kouimelis
1316104,Fernando Benítez
1446201,Joseph Thomas
1464421,Juan Gonzalez
1743248,Rick Kelly
1743255,Corey Hels
1743256,Maksymillian Naporowski
1743257,Carlos Pedroza
1339456,Mara Herdmann
66193,Chris Sanders
69797,Dean DeBlois
1447593,Mick De Falco
1451273,J.C. Alvarez
7213,Jonathan Mostow
1228698,Steve Love
1691209,John Trujillo
15218,James Gunn
77921,Hideaki Anno
80752,Shinji Higuchi
1192404,Katsuro Onoue
1349452,Lars P. Winther
1389601,Deirdre Horgan
7467,David Fincher
1400090,Joyce Heftel
957,Matthew Vaughn
10943,Francis Lawrence
1341865,Ana Maria Quintana
12962,Jon Turteltaub
5231,Wolfgang Petersen
26205,James Bobin
1394093,Marianne Huet
1621394,Aisling Hughes
12098,Chris Miller
12099,Raman Hui
81850,Duncan Jones
1378728,Jessica Clothier
47005,Alan Taylor
10781,Michael Apted
62722,Matthew Cohan
1152,Oliver Stone
1413808,Sue Field
1733771,Simon Warnock
8275,Katterli Frauenfelder
7930,Jan Pinkava
7988,Jeremy Lasky
1631516,Cliff Lanning
18863,Eric Darnell
18864,Tom McGrath
17825,Shawn Levy
13079,Gavin Hood
11266,James McTeigue
15774,Chris Buck
1120694,Jennifer Lee
1450984,Scott Armstrong
20629,George Miller
1392737,Sophie Fabbri-Jackson
1518756,P.J. Voeten
6159,Ron Howard
1390538,Sherry Gallarneau
11181,Kenneth Branagh
630,Mark Henley
15849,Neil Krepela
1452489,Thomas Baker
1604003,Marcie Matsui
1713704,William Otsuka
1763082,Jennifer Kesinger
1763088,Dustin Pappas
84851,Hoyt Yeatman
66739,Jonathan Liebesman
9033,Christopher McQuarrie
1408855,Laura Miles
4945,Joe Johnston
1550814,Katie Harlow
44113,Steve Hickner
44114,Simon J. Smith
142312,Jennifer Yuh Nelson
11614,M. Night Shyamalan
21879,Simon Wells
33183,David Bowers
58897,Sam Fell
36588,Joe Wright
18898,Rob Minkoff
1697625,Javier Clave
7256,Lee Tamahori
116805,Paul Feig
1400540,Sheila Waldron
1483902,Rebecca Breckel
1394313,Karin Anderson
1536383,Kevin Cooper
61523,Artist W. Robinson
1395373,Mary Bailey
1599644,Susan Eileen Stewart
1837380,Deanna Stadler
1262481,Alessandro Carloni
1464413,Edward Derian Boyke
1464416,Darrin Butts
1464418,Alessandro Ceglia
1464423,Hamilton Lewis
151007,Peter Ramsey
15002,Dean Parisot
1377239,Wilma Garscadden-Gahret
9181,Edward Zwick
1357600,Julia Chiavetta
1424137,Susana Preston
1605797,Jeff Shiffman
21085,Alex Proyas
1403728,Kira Bohn
1483584,Karen Mansfield
7187,Richard Donner
1801526,J. Tom Archuleta
1614,Ang Lee
1594930,Ian O'Connor
54507,Jon M. Chu
40749,Jean Bourne
52609,Breck Eisner
1467116,Christopher Newman
21692,Hironobu Sakaguchi
21693,Motonori Sakakibara
2690,Peter Weir
62543,Alan B. Curtiss
1377240,Brenda Lopez
1619096,Dani Morrow
1643713,David M. Bernstein
15557,Bill Condon
1347761,Jessica Lichtner
1451274,Pablo Calvillo
18865,Louis Leterrier
223,Alejandro González Iñárritu
1598516,Samantha Ellison
94075,David Soren
25598,Paul Greengrass
193339,David Decio
1406856,Sue Mahoney
1471947,Chris Carreras
57741,Mark Osborne
57742,John Stevenson
59026,Peyton Reed
1016148,Walter Gasparovic
1787802,Brian Avery Galligan
52870,Tim Johnson
1102140,Adam Somner
1699144,Colin Benoit
1427384,Jane Goldsmith
1476990,John G. Scotti
1748026,Joe Lotito
13015,Phillip Noyce
6431,Darren Aronofsky
11218,Alfonso Cuarón
1591578,Randy Jonsson
1836741,Fiona Richards
1836742,Iain Atkinson
65855,Ralph Zondag
65856,Eric Leighton
1533038,Diane Durant
1871154,Rosalie Carew
10965,Chris Columbus
1836887,Michael Stevenson
1836888,Michael Michael
57270,Robert Schwentke
1646248,Gary Romolo Fiorelli
